cacheSize,blockSize,associativity,writeBack,writeAllocate,missRate,totalCycles,CPI
4096,32,2,0,0,0.423755,14575711,62.6613
4096,32,2,1,0,0.423755,11205511,48.1727
4096,32,2,0,1,0.371203,14614311,62.8273
4096,32,2,1,1,0.371203,10624911,45.6767
4096,32,4,0,0,0.417624,14436911,62.0646
4096,32,4,1,0,0.417624,11048011,47.4957
4096,32,4,0,1,0.365649,14471711,62.2142
4096,32,4,1,1,0.365649,10476911,45.0405
4096,32,8,0,0,0.416678,14411811,61.9567
4096,32,8,1,0,0.416678,11021411,47.3813
4096,32,8,0,1,0.364841,14447111,62.1085
4096,32,8,1,1,0.364841,10453111,44.9382
4096,32,16,0,0,0.417237,14417211,61.9799
4096,32,16,1,0,0.417237,11040511,47.4634
4096,32,16,0,1,0.364875,14450211,62.1218
4096,32,16,1,1,0.364875,10461411,44.9738
4096,32,32,0,0,0.417568,14422511,62.0027
4096,32,32,1,0,0.417568,11052511,47.515
4096,32,32,0,1,0.365056,14457711,62.154
4096,32,32,1,1,0.365056,10475011,45.0323
4096,64,2,0,0,0.353698,13064411,56.1642
4096,64,2,1,0,0.353698,9532211,40.9792
4096,64,2,0,1,0.303954,13070211,56.1891
4096,64,2,1,1,0.303954,8843111,38.0167
4096,64,4,0,0,0.349098,12978411,55.7945
4096,64,4,1,0,0.349098,9418811,40.4917
4096,64,4,0,1,0.300287,12987111,55.8319
4096,64,4,1,1,0.300287,8747211,37.6045
4096,64,8,0,0,0.346901,12938811,55.6242
4096,64,8,1,0,0.346901,9368611,40.2759
4096,64,8,0,1,0.29858,12945611,55.6535
4096,64,8,1,1,0.29858,8704211,37.4196
4096,64,16,0,0,0.347503,12949111,55.6685
4096,64,16,1,0,0.347503,9388011,40.3593
4096,64,16,0,1,0.298786,12952011,55.681
4096,64,16,1,1,0.298786,8716011,37.4703
4096,64,32,0,0,0.347851,12952611,55.6836
4096,64,32,1,0,0.347851,9401011,40.4152
4096,64,32,0,1,0.29867,12950811,55.6758
4096,64,32,1,1,0.29867,8720011,37.4875
4096,128,2,0,0,0.322981,12314211,52.9391
4096,128,2,1,0,0.322981,8782111,37.7545
4096,128,2,0,1,0.270847,12274911,52.7701
4096,128,2,1,1,0.270847,7941311,34.1399
4096,128,4,0,0,0.31367,12166911,52.3058
4096,128,4,1,0,0.31367,8554911,36.7778
4096,128,4,0,1,0.264476,12142011,52.1988
4096,128,4,1,1,0.264476,7776111,33.4297
4096,128,8,0,0,0.311383,12133711,52.1631
4096,128,8,1,0,0.311383,8500011,36.5417
4096,128,8,0,1,0.263044,12112111,52.0702
4096,128,8,1,1,0.263044,7738411,33.2676
4096,128,16,0,0,0.311374,12125511,52.1278
4096,128,16,1,0,0.311374,8504711,36.5619
4096,128,16,0,1,0.262571,12100511,52.0204
4096,128,16,1,1,0.262571,7732111,33.2405
4096,128,32,0,0,0.311529,12130811,52.1506
4096,128,32,1,0,0.311529,8512311,36.5946
4096,128,32,0,1,0.262503,12101911,52.0264
4096,128,32,1,1,0.262503,7734511,33.2508
4096,256,2,0,0,0.325049,12168011,52.3106
4096,256,2,1,0,0.325049,8786111,37.7717
4096,256,2,0,1,0.261402,11967111,51.4469
4096,256,2,1,1,0.261402,7531311,32.3773
4096,256,4,0,0,0.309439,11911411,51.2074
4096,256,4,1,0,0.309439,8411211,36.16
4096,256,4,0,1,0.249967,11722311,50.3945
4096,256,4,1,1,0.249967,7236711,31.1108
4096,256,8,0,0,0.301753,11810711,50.7745
4096,256,8,1,0,0.301753,8228311,35.3737
4096,256,8,0,1,0.245848,11647211,50.0716
4096,256,8,1,1,0.245848,7134811,30.6727
4096,256,16,0,0,0.299173,11778711,50.6369
4096,256,16,1,0,0.299173,8171011,35.1274
4096,256,16,0,1,0.24424,11622611,49.9659
4096,256,16,1,1,0.24424,7098911,30.5184
16384,32,2,0,0,0.326283,12507811,53.7714
16384,32,2,1,0,0.326283,8676311,37.2997
16384,32,2,0,1,0.290193,12614211,54.2288
16384,32,2,1,1,0.290193,8371811,35.9906
16384,32,4,0,0,0.327568,12540611,53.9124
16384,32,4,1,0,0.327568,8718511,37.4811
16384,32,4,0,1,0.29131,12648411,54.3758
16384,32,4,1,1,0.29131,8416111,36.1811
16384,32,8,0,0,0.329645,12579511,54.0796
16384,32,8,1,0,0.329645,8786111,37.7717
16384,32,8,0,1,0.292106,12676911,54.4983
16384,32,8,1,1,0.292106,8456811,36.356
16384,32,16,0,0,0.330883,12601911,54.1759
16384,32,16,1,0,0.330883,8823711,37.9333
16384,32,16,0,1,0.292948,12701611,54.6045
16384,32,16,1,1,0.292948,8486911,36.4854
16384,32,32,0,0,0.335736,12695011,54.5761
16384,32,32,1,0,0.335736,8955911,38.5017
16384,32,32,0,1,0.296263,12782911,54.954
16384,32,32,1,1,0.296263,8591511,36.9351
16384,64,2,0,0,0.263414,11173111,48.0335
16384,64,2,1,0,0.263414,7196711,30.9388
